auc=0.9593|aupr=0.0247
Saving model: Best epoch = 0 | metrics_Best = 0.0247
auc=0.9643|aupr=0.0309
Saving model: Best epoch = 1 | metrics_Best = 0.0309
auc=0.9621|aupr=0.0213
auc=0.9617|aupr=0.0202
auc=0.9616|aupr=0.0199
auc=0.9617|aupr=0.0200
auc=0.9617|aupr=0.0203
auc=0.9623|aupr=0.0214
auc=0.9638|aupr=0.0313
Saving model: Best epoch = 8 | metrics_Best = 0.0313
auc=0.9671|aupr=0.0391
Saving model: Best epoch = 9 | metrics_Best = 0.0391
auc=0.9712|aupr=0.0429
Saving model: Best epoch = 10 | metrics_Best = 0.0429
auc=0.9714|aupr=0.0413
auc=0.9721|aupr=0.0440
Saving model: Best epoch = 12 | metrics_Best = 0.0440
auc=0.9701|aupr=0.0447
Saving model: Best epoch = 13 | metrics_Best = 0.0447
auc=0.9723|aupr=0.0489
Saving model: Best epoch = 14 | metrics_Best = 0.0489
auc=0.9669|aupr=0.0392
auc=0.9713|aupr=0.0487
auc=0.9728|aupr=0.0599
Saving model: Best epoch = 17 | metrics_Best = 0.0599
auc=0.9713|aupr=0.0388
auc=0.9734|aupr=0.0659
Saving model: Best epoch = 19 | metrics_Best = 0.0659
auc=0.9726|aupr=0.0534
auc=0.9734|aupr=0.0499
auc=0.9738|aupr=0.0519
auc=0.9737|aupr=0.0485
auc=0.9745|aupr=0.0555
auc=0.9741|aupr=0.0468
auc=0.9737|aupr=0.0433
auc=0.9738|aupr=0.0557
auc=0.9738|aupr=0.0441
auc=0.9747|aupr=0.0513
auc=0.9749|aupr=0.0516
auc=0.9746|aupr=0.0488
auc=0.9745|aupr=0.0499
auc=0.9750|aupr=0.0566
auc=0.9756|aupr=0.0544
auc=0.9755|aupr=0.0573
auc=0.9752|aupr=0.0511
auc=0.9754|aupr=0.0446
auc=0.9722|aupr=0.0642
auc=0.9710|aupr=0.0562
auc=0.9759|aupr=0.0511
auc=0.9722|aupr=0.0620
auc=0.9746|aupr=0.0480
auc=0.9760|aupr=0.0436
auc=0.9766|aupr=0.0511
auc=0.9763|aupr=0.0506
auc=0.9766|aupr=0.0526
auc=0.9765|aupr=0.0499
auc=0.9751|aupr=0.0508
auc=0.9768|aupr=0.0524
auc=0.9368|aupr=0.0240
Saving model: Best epoch = 0 | metrics_Best = 0.0240
auc=0.9631|aupr=0.0264
Saving model: Best epoch = 1 | metrics_Best = 0.0264
auc=0.9605|aupr=0.0269
Saving model: Best epoch = 2 | metrics_Best = 0.0269
auc=0.9622|aupr=0.0272
Saving model: Best epoch = 3 | metrics_Best = 0.0272
auc=0.9627|aupr=0.0273
Saving model: Best epoch = 4 | metrics_Best = 0.0273
auc=0.9607|aupr=0.0274
Saving model: Best epoch = 5 | metrics_Best = 0.0274
auc=0.9608|aupr=0.0274
Saving model: Best epoch = 6 | metrics_Best = 0.0274
auc=0.9614|aupr=0.0280
Saving model: Best epoch = 7 | metrics_Best = 0.0280
auc=0.9667|aupr=0.0332
Saving model: Best epoch = 8 | metrics_Best = 0.0332
auc=0.9686|aupr=0.0416
Saving model: Best epoch = 9 | metrics_Best = 0.0416
